run_id,harness,architecture_family,provider,model,temperature,prompt_version,schema_version,mapping_version,dataset_n,llm_calls_per_row,mean_input_tokens,mean_output_tokens,mean_total_tokens,latency_ms,estimated_cost_usd,modules_invoked,intermediate_artifacts,external_tools
matrix_meta-llama_Llama-3_1-8B-Instruct_retrieval_anchor,retrieval_anchor,retrieval_field_pipeline,replay,meta-llama/Llama-3.1-8B-Instruct,0.0,anchor_retrieval_v1,1.0.0,,1,1,20.0,6.0,26.0,1,0.0,0,2,
matrix_claude-3-5-haiku-20241022_retrieval_field_extractors,retrieval_field_extractors,retrieval_field_pipeline,replay,claude-3-5-haiku-20241022,0.0,retrieval_field_extractor_v1,final_extraction_v1,,25,5,450.0,175.0,625.0,125,0.0,3,3,
matrix_claude-3-5-sonnet-20241022_retrieval_field_extractors,retrieval_field_extractors,retrieval_field_pipeline,replay,claude-3-5-sonnet-20241022,0.0,retrieval_field_extractor_v1,final_extraction_v1,,25,5,450.0,175.0,625.0,125,0.0,3,3,
matrix_claude-3-haiku-20240307_retrieval_field_extractors,retrieval_field_extractors,retrieval_field_pipeline,replay,claude-3-haiku-20240307,0.0,retrieval_field_extractor_v1,final_extraction_v1,,25,5,450.0,175.0,625.0,125,0.0,3,3,
matrix_gpt-4o-2024-11-20_retrieval_field_extractors,retrieval_field_extractors,retrieval_field_pipeline,replay,gpt-4o-2024-11-20,0.0,retrieval_field_extractor_v1,final_extraction_v1,,25,5,450.0,175.0,625.0,125,0.0,3,3,
matrix_gpt-4o-mini-2024-07-18_retrieval_field_extractors,retrieval_field_extractors,retrieval_field_pipeline,replay,gpt-4o-mini-2024-07-18,0.0,retrieval_field_extractor_v1,final_extraction_v1,,25,5,450.0,175.0,625.0,125,0.0,3,3,
matrix_meta-llama_Llama-3_1-70B-Instruct_retrieval_field_extractors,retrieval_field_extractors,retrieval_field_pipeline,replay,meta-llama/Llama-3.1-70B-Instruct,0.0,retrieval_field_extractor_v1,final_extraction_v1,,25,5,450.0,175.0,625.0,125,0.0,3,3,
matrix_meta-llama_Llama-3_1-8B-Instruct_retrieval_field_extractors,retrieval_field_extractors,retrieval_field_pipeline,replay,meta-llama/Llama-3.1-8B-Instruct,0.0,retrieval_field_extractor_v1,final_extraction_v1,,25,5,450.0,175.0,625.0,125,0.0,3,3,
matrix_claude-3-5-haiku-20241022_single_prompt_anchor,single_prompt_anchor,direct_llm,replay,claude-3-5-haiku-20241022,0.0,anchor_single_prompt_v1,1.0.0,,1,1,20.0,6.0,26.0,1,0.0,0,2,
matrix_claude-3-5-sonnet-20241022_single_prompt_anchor,single_prompt_anchor,direct_llm,replay,claude-3-5-sonnet-20241022,0.0,anchor_single_prompt_v1,1.0.0,,1,1,20.0,6.0,26.0,1,0.0,0,2,
